booking_id,customer_id,status,check_in,check_out,no_of_rooms,hotel_id,amount,discount,date_of_booking
1,189314,Cancelled,04-02-2017,05-02-2017,1,252,3160,669,31-01-2017
2,46268,Cancelled,27-01-2017,28-01-2017,1,252,1893,481,27-01-2017
3,55271,Stayed,25-01-2017,26-01-2017,1,252,2188,463,25-01-2017
4,170766,Cancelled,26-01-2017,27-01-2017,1,252,3054,646,26-01-2017
5,170766,Cancelled,26-01-2017,28-01-2017,1,252,6107,1293,25-01-2017
6,170766,Cancelled,26-01-2017,29-01-2017,1,252,9614,2441,23-01-2017
7,182276,Stayed,24-01-2017,25-01-2017,1,252,1980,436,24-01-2017
8,74628,Cancelled,09-02-2017,10-02-2017,1,252,3054,646,10-01-2017
9,122584,Stayed,06-02-2017,08-02-2017,1,571,10397,2200,25-01-2017
10,170174,Cancelled,14-02-2017,16-02-2017,1,571,8967,1898,28-01-2017
11,77745,Stayed,03-01-2017,04-01-2017,1,571,4679,1188,03-01-2017
12,77745,Cancelled,03-01-2017,04-01-2017,1,571,4679,1188,03-01-2017
13,77745,Cancelled,03-01-2017,04-01-2017,1,571,4679,1188,03-01-2017
14,55369,Cancelled,13-02-2017,15-02-2017,1,109,7927,1678,06-01-2017
15,42531,Stayed,09-01-2017,10-01-2017,1,109,1949,1100,09-01-2017
16,60231,Stayed,08-01-2017,09-01-2017,1,109,1949,1100,08-01-2017
17,66762,Stayed,07-01-2017,08-01-2017,1,109,3509,743,01-01-2017
18,161206,Stayed,03-01-2017,04-01-2017,1,109,2859,605,02-01-2017
19,3452,Stayed,10-02-2017,12-02-2017,1,88,5977,1265,31-01-2017
20,193036,Cancelled,10-02-2017,13-02-2017,1,88,9075,1920,15-01-2017
21,193036,Cancelled,08-02-2017,12-02-2017,1,88,12100,2560,14-01-2017
22,42387,Stayed,24-01-2017,25-01-2017,1,88,2474,524,23-01-2017
23,42387,Stayed,22-01-2017,24-01-2017,1,88,4802,1016,16-01-2017
24,151804,Cancelled,21-01-2017,22-01-2017,1,88,3236,684,21-01-2017
25,62642,Stayed,19-01-2017,21-01-2017,1,88,5002,1058,19-01-2017
26,127850,Cancelled,14-01-2017,15-01-2017,1,88,1905,403,14-01-2017
27,193036,Stayed,11-01-2017,13-01-2017,1,88,6092,1289,09-01-2017
28,42387,Stayed,09-01-2017,11-01-2017,1,88,4077,1035,03-01-2017
29,68800,Cancelled,04-01-2017,06-01-2017,1,88,6510,1652,03-01-2017
30,148431,Stayed,07-01-2017,08-01-2017,1,755,4224,1073,07-01-2017
31,120371,Stayed,02-01-2017,03-01-2017,1,755,3184,809,02-01-2017
32,98294,Stayed,31-01-2017,01-02-2017,1,859,1949,413,31-01-2017
33,172653,Cancelled,15-01-2017,16-01-2017,1,859,1689,358,15-01-2017
34,49442,Stayed,05-01-2017,06-01-2017,1,859,2144,545,05-01-2017
35,112916,Stayed,26-01-2017,28-01-2017,1,232,7093,1500,22-01-2017
36,78646,Stayed,27-01-2017,28-01-2017,1,232,2903,614,26-01-2017
37,46608,Stayed,22-01-2017,23-01-2017,1,232,3271,831,22-01-2017
38,169327,Stayed,20-01-2017,22-01-2017,1,232,6482,1372,16-01-2017
39,88392,Stayed,13-01-2017,16-01-2017,1,232,9676,2047,09-01-2017
40,119048,Cancelled,07-01-2017,08-01-2017,1,232,3227,820,07-01-2017
41,145504,Stayed,03-01-2017,05-01-2017,1,232,3510,891,02-01-2017
42,154473,Stayed,21-01-2017,22-01-2017,1,195,2924,743,20-01-2017
43,108129,Stayed,21-01-2017,22-01-2017,1,195,2534,536,21-01-2017
44,78914,Stayed,31-01-2017,01-02-2017,1,401,2209,468,28-01-2017
45,24582,Stayed,13-01-2017,14-01-2017,1,152,1949,413,10-01-2017
46,127850,Stayed,14-01-2017,15-01-2017,1,194,2404,508,14-01-2017
47,148431,Stayed,05-01-2017,06-01-2017,1,684,2794,710,05-01-2017
48,164024,Stayed,04-01-2017,05-01-2017,1,160,2924,767,04-01-2017
49,17344,Stayed,09-02-2017,11-02-2017,1,486,4352,921,26-01-2017
50,171463,Stayed,01-02-2017,04-02-2017,1,486,7016,1484,27-01-2017
51,71382,Stayed,31-01-2017,02-02-2017,1,486,4872,1071,25-01-2017
52,190191,Stayed,22-01-2017,24-01-2017,1,486,4287,943,18-01-2017
53,190191,Stayed,19-01-2017,21-01-2017,1,486,4157,914,18-01-2017
54,127850,Cancelled,21-01-2017,22-01-2017,1,486,2469,523,17-01-2017
55,148274,Stayed,16-01-2017,18-01-2017,1,486,4547,963,09-01-2017
56,71382,Stayed,12-01-2017,14-01-2017,1,486,4287,943,11-01-2017
57,89928,Stayed,06-01-2017,07-01-2017,2,486,5067,1286,04-01-2017
58,192162,Stayed,16-01-2017,17-01-2017,1,153,2339,594,16-01-2017
59,192162,Cancelled,16-01-2017,17-01-2017,1,153,2144,453,11-01-2017
60,46140,Stayed,09-01-2017,11-01-2017,2,153,12995,3409,03-01-2017
61,156920,Cancelled,07-01-2017,08-01-2017,1,128,3379,858,06-01-2017
62,59454,Cancelled,05-01-2017,08-01-2017,1,128,12281,3117,05-01-2017
63,59454,Cancelled,06-01-2017,08-01-2017,1,128,8577,2177,03-01-2017
64,59454,Cancelled,05-01-2017,06-01-2017,1,128,4289,1089,03-01-2017
65,78645,Cancelled,28-02-2017,01-03-2017,1,402,2469,523,26-01-2017
66,6014,Stayed,24-01-2017,25-01-2017,1,402,1754,446,23-01-2017
67,70892,Stayed,21-01-2017,22-01-2017,1,250,2664,563,21-01-2017
68,92309,Cancelled,18-01-2017,19-01-2017,1,250,2079,0,18-01-2017
69,122584,Stayed,09-01-2017,11-01-2017,1,846,5717,1451,07-01-2017
70,130034,Cancelled,07-02-2017,09-02-2017,1,107,7797,1979,25-01-2017
71,138055,Stayed,18-01-2017,19-01-2017,1,107,3249,825,18-01-2017
72,79348,Stayed,16-01-2017,17-01-2017,1,107,2989,633,16-01-2017
73,3580,Stayed,17-01-2017,19-01-2017,1,583,4677,990,16-01-2017
74,140507,Cancelled,17-01-2017,18-01-2017,2,583,5327,1128,13-01-2017
75,66504,Stayed,06-01-2017,09-01-2017,1,583,6104,1291,05-01-2017
76,163261,Cancelled,06-01-2017,07-01-2017,1,583,2274,578,05-01-2017
77,26179,Stayed,03-02-2017,04-02-2017,1,245,2101,444,31-01-2017
78,36787,Stayed,26-01-2017,27-01-2017,1,245,2284,580,21-01-2017
79,83841,Stayed,25-01-2017,27-01-2017,1,245,4131,1048,23-01-2017
80,101925,Cancelled,28-01-2017,03-02-2017,1,245,12667,2680,26-01-2017
81,17746,Cancelled,26-01-2017,28-01-2017,1,245,6620,1400,12-01-2017
82,103003,Cancelled,06-01-2017,07-01-2017,1,245,2977,756,06-01-2017
83,68240,Stayed,02-01-2017,03-01-2017,1,245,2005,425,02-01-2017
84,69750,Stayed,24-01-2017,25-01-2017,1,56,3704,783,18-01-2017
85,69750,Cancelled,24-01-2017,25-01-2017,1,56,3314,701,23-01-2017
86,50628,Stayed,19-01-2017,20-01-2017,1,56,3704,941,16-01-2017
87,69750,Cancelled,18-01-2017,19-01-2017,1,56,3314,701,18-01-2017
88,13402,Stayed,24-01-2017,26-01-2017,1,382,6562,1665,23-01-2017
89,31960,Stayed,30-01-2017,02-02-2017,1,944,7180,1519,30-01-2017
90,35729,Cancelled,27-01-2017,28-01-2017,1,944,2023,428,27-01-2017
91,35729,Cancelled,27-01-2017,28-01-2017,1,944,2509,531,27-01-2017
92,117605,Stayed,17-01-2017,18-01-2017,2,944,3461,733,17-01-2017
93,119500,Stayed,15-01-2017,16-01-2017,1,944,1702,360,15-01-2017
94,62595,Cancelled,27-01-2017,30-01-2017,2,944,21212,5385,13-01-2017
95,66504,Cancelled,05-01-2017,06-01-2017,1,944,1745,370,05-01-2017
96,71800,Cancelled,01-02-2017,02-02-2017,1,86,1594,338,31-01-2017
97,77745,Cancelled,05-03-2017,08-03-2017,1,86,9859,2086,11-01-2017
98,77745,Cancelled,11-03-2017,14-03-2017,1,86,9859,2086,11-01-2017
99,107105,Stayed,26-01-2017,28-01-2017,1,86,4488,1140,25-01-2017
100,37423,Stayed,16-01-2017,20-01-2017,1,86,10587,2240,09-01-2017
101,37423,Stayed,18-01-2017,19-01-2017,1,86,2102,444,18-01-2017
102,128513,Stayed,18-01-2017,19-01-2017,1,86,2050,520,18-01-2017
103,190136,Cancelled,25-01-2017,26-01-2017,1,86,1606,340,23-01-2017
104,78626,Stayed,13-01-2017,14-01-2017,1,837,3444,728,13-01-2017
105,8873,Stayed,20-01-2017,25-01-2017,1,161,7371,1560,20-01-2017
106,83841,Cancelled,25-01-2017,30-01-2017,1,161,8964,1896,23-01-2017
107,57801,Stayed,22-01-2017,23-01-2017,1,161,1594,338,20-01-2017
108,57801,Cancelled,23-01-2017,24-01-2017,1,161,2088,460,22-01-2017
109,108129,Stayed,02-01-2017,03-01-2017,1,938,2469,523,02-01-2017
110,16015,Stayed,07-01-2017,08-01-2017,1,475,1457,370,07-01-2017
111,117378,Stayed,11-01-2017,13-01-2017,1,248,5717,1210,10-01-2017
112,32390,Stayed,27-01-2017,30-01-2017,1,760,13256,2916,24-01-2017
113,15775,Stayed,21-01-2017,22-01-2017,1,760,2209,468,21-01-2017
114,85555,Cancelled,11-02-2017,19-02-2017,1,597,22870,5031,25-01-2017
115,34633,No Show,21-01-2017,22-01-2017,1,597,3205,678,19-01-2017
